epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,6906.28,0.50003,0.24409,0.86441,0.997,0.99279,0.99401,0.8885,0.54375,0.2488,0.87127,0.00591087,0.00591087,0.00591087
59,7024.09,0.49966,0.24745,0.864,0.99801,0.99619,0.99408,0.87743,0.58447,0.24656,0.88988,0.00583913,0.00583913,0.00583913
60,7161.49,0.49781,0.24371,0.87058,0.999,0.99576,0.99406,0.88528,0.56926,0.25826,0.9045,0.00576739,0.00576739,0.00576739
61,7299.4,0.49469,0.24254,0.87167,0.99891,0.99403,0.99408,0.88457,0.5558,0.24754,0.89825,0.00569565,0.00569565,0.00569565
62,7431.52,0.4908,0.23781,0.86767,0.99886,0.99602,0.99401,0.88975,0.53583,0.23348,0.87886,0.00562391,0.00562391,0.00562391
63,7547.5,0.49869,0.24432,0.86651,0.99765,0.99403,0.99402,0.88819,0.53599,0.23787,0.86997,0.00555217,0.00555217,0.00555217
64,7670.26,0.49364,0.24408,0.86251,0.99767,0.99701,0.99403,0.87996,0.56905,0.24918,0.88688,0.00548043,0.00548043,0.00548043
65,7794.58,0.49493,0.23918,0.86929,0.99731,0.99701,0.99406,0.8797,0.57704,0.2476,0.88486,0.0054087,0.0054087,0.0054087
66,7891.66,0.49575,0.24059,0.86239,0.99893,0.99602,0.99402,0.87491,0.57711,0.23603,0.87351,0.00533696,0.00533696,0.00533696
67,7989.13,0.48848,0.23732,0.86105,0.99702,0.99785,0.99405,0.89081,0.53548,0.22586,0.86333,0.00526522,0.00526522,0.00526522
68,8121.41,0.49075,0.23671,0.86673,0.9988,0.99602,0.99405,0.87563,0.59032,0.24341,0.90416,0.00519348,0.00519348,0.00519348
69,8217.16,0.49442,0.23626,0.86988,0.99682,0.99801,0.99402,0.88212,0.56912,0.24718,0.9067,0.00512174,0.00512174,0.00512174
70,8319.32,0.48906,0.2333,0.87008,0.99602,0.99512,0.99407,0.87356,0.58216,0.2466,0.90702,0.00505,0.00505,0.00505
71,8401.49,0.49096,0.23402,0.86847,0.99209,0.99791,0.99404,0.88601,0.54999,0.23301,0.88808,0.00497826,0.00497826,0.00497826
72,8483.5,0.48445,0.23425,0.86118,0.999,0.99687,0.99403,0.88612,0.55055,0.23016,0.87339,0.00490652,0.00490652,0.00490652
73,8605.36,0.48927,0.23464,0.86327,0.998,0.99186,0.99404,0.88091,0.56032,0.24051,0.88643,0.00483478,0.00483478,0.00483478
74,8705.25,0.4785,0.23229,0.86533,0.99702,0.99761,0.99405,0.87446,0.58423,0.24499,0.90214,0.00476304,0.00476304,0.00476304
75,8837.91,0.48753,0.23494,0.86849,0.998,0.99488,0.99408,0.88881,0.53472,0.23047,0.88373,0.0046913,0.0046913,0.0046913
76,8926.76,0.48329,0.23114,0.85839,0.99866,0.99701,0.99404,0.88849,0.53933,0.2282,0.86609,0.00461957,0.00461957,0.00461957
